cutoff	t_11	f_11	FNR_1	FPR_1	lnL_1	t_21	f_21	t_22	f_22	FNR_2	FPR_2	lnL_2	lambda
5.000000000000000278e-02	2.088359539488727351e-02	1.564507933557730268e-01	9.999999999999996487e-11	3.973041196739870453e-04	3.611296169542384450e+04	1.496096330179350932e-02	1.788806383163574487e-01	5.891563975679640214e-03	6.317787001293342919e-02	2.348372640953883209e-05	2.279925133360697460e-04	3.593763270476739126e+04	3.506579813129064860e+02
1.000000000000000056e-01	1.935950642136406372e-02	1.512212553610209065e-01	9.999999999999996487e-11	3.404533059511419182e-04	3.450346871731887222e+04	1.491983049560812249e-02	1.616171055499000808e-01	4.451705703859827438e-03	5.530520821128372816e-02	4.374182390421767783e-05	1.769461192712519829e-04	3.436709149492917641e+04	2.727544447793916333e+02
1.500000000000000222e-01	1.868302302303464016e-02	1.492855568691867363e-01	9.999999999999996487e-11	3.172547548265141682e-04	3.373773132338475989e+04	1.419851251450441991e-02	1.582226413539041809e-01	4.495840786720129226e-03	5.699943720368389616e-02	2.969536025746764566e-05	1.660083753615641919e-04	3.361055237280589790e+04	2.543579011577239726e+02
2.000000000000000111e-01	1.817361881490776182e-02	1.483193132321180552e-01	9.999999999999996487e-11	3.037096652879313959e-04	3.312783967811076582e+04	1.366000904988558945e-02	1.561128598116322264e-01	4.522089491040799138e-03	5.847495198043787396e-02	2.084728229018968984e-05	1.619913514952810976e-04	3.300752767441350443e+04	2.406240073945227778e+02
2.500000000000000000e-01	1.777899187507037820e-02	1.479634163890754250e-01	9.999999999999996487e-11	2.958307394997091539e-04	3.262920096682530493e+04	1.327302736046184761e-02	1.559217660025868368e-01	4.511524152639868022e-03	5.912938004651577956e-02	2.909003042920357029e-06	1.586213062422857736e-04	3.251081905956828268e+04	2.367638145140444976e+02
2.999999999999999889e-01	1.733932104162826809e-02	1.470429457751031288e-01	9.999999999999996487e-11	2.886955722001798702e-04	3.212264166836537333e+04	1.334265808139742902e-02	1.524109382671897939e-01	4.012339123761423168e-03	5.580040058583842638e-02	9.999999999999996487e-11	1.505264832234643640e-04	3.201218801825657283e+04	2.209073002176010050e+02
3.500000000000000333e-01	1.699570227814752379e-02	1.465313171236387046e-01	9.999999999999960298e-11	2.779113178606565674e-04	3.167030771402205210e+04	1.308490939498869327e-02	1.514439767790355107e-01	3.924050409304736045e-03	5.565682509981802195e-02	1.300412351519556339e-05	1.426780811043505085e-04	3.156272362442529266e+04	2.151681791935188812e+02
4.000000000000000222e-01	1.663437754854041675e-02	1.456114119470876822e-01	9.999999999999996487e-11	2.660330718850884230e-04	3.121977258594055456e+04	1.255996789105621146e-02	1.508456079459211674e-01	4.085441060790473769e-03	5.772649236620897711e-02	5.580325778779903765e-06	1.379719166269863337e-04	3.111406459048804027e+04	2.114159909050285933e+02
4.500000000000000111e-01	1.637560241173548203e-02	1.454900538181035097e-01	9.999999999999996487e-11	2.592351236980290543e-04	3.085672323783619504e+04	1.417020191893563104e-02	1.553410469628874746e-01	2.355650324319996138e-03	3.307355517693609526e-02	3.358789394453643100e-06	4.940829215961906730e-10	3.075976740773777783e+04	1.939116601968344185e+02
5.000000000000000000e-01	1.602875462924643196e-02	1.455774884841954664e-01	9.999999999999996487e-11	2.537735902435589420e-04	3.036727294930751668e+04	1.207320013309887488e-02	1.508993483751837617e-01	3.963933084631549378e-03	5.802057444636814221e-02	4.612411049640473796e-05	1.313192716616913460e-04	3.026464528331467591e+04	2.052553319856815506e+02
