cutoff	t_11	f_11	FNR_1	FPR_1	lnL_1	t_21	f_21	t_22	f_22	FNR_2	FPR_2	lnL_2	lambda
5.000000000000000278e-02	1.752566137747953515e-02	1.196213475208316307e-01	3.338292824182673657e-07	3.982933881117320732e-04	3.571698699010753626e+04	1.059578005786827350e-02	1.469126334709907611e-01	6.998849049424477227e-03	5.862959187437379038e-02	1.000006148470025575e-10	2.137588337174193024e-04	3.555242420963267068e+04	3.291255609497311525e+02
1.000000000000000056e-01	1.608458492088911396e-02	1.147688040967009410e-01	9.999999999999996487e-11	3.478135247377702561e-04	3.403738939130994549e+04	1.047591835237130994e-02	1.303951008749606733e-01	5.700672646272307749e-03	5.330514944538027045e-02	4.119425967078920353e-05	1.707300174201513811e-04	3.390640630947741738e+04	2.619661636650562286e+02
1.500000000000000222e-01	1.548439636728520842e-02	1.133141011315261792e-01	9.999999999999996487e-11	3.259798143702223030e-04	3.324060818001459120e+04	9.965003466747810595e-03	1.279982878129652391e-01	5.606949519368440576e-03	5.373792602033656413e-02	2.869686083131220910e-05	1.589802445702245858e-04	3.311760527448524226e+04	2.460058110586978728e+02
2.000000000000000111e-01	1.508668256283123878e-02	1.129710391571838030e-01	9.999999999999996487e-11	3.075465757548950536e-04	3.261046658840187956e+04	9.763770632228946020e-03	1.268200530885734145e-01	5.407652788759152382e-03	5.338504631836283459e-02	9.999999999999996487e-11	1.452780051447530459e-04	3.249162803254929167e+04	2.376771117051757756e+02
2.500000000000000000e-01	1.472041750397273807e-02	1.122324064272203215e-01	9.999999999999996487e-11	2.988711237745901106e-04	3.211615092529061440e+04	9.650589684340274768e-03	1.255457837901384488e-01	5.156803075410185642e-03	5.214754683254688855e-02	1.000006855497390055e-10	1.362026588395041742e-04	3.199915221364265744e+04	2.339974232959139044e+02
2.999999999999999889e-01	1.439171569655004097e-02	1.115759990324395462e-01	9.999999999999996487e-11	2.929309590312418471e-04	3.167629510975138328e+04	9.307160657877708992e-03	1.244897628194935463e-01	5.167009121151129244e-03	5.296974808370247950e-02	1.561604756532952877e-09	1.377825768997834814e-04	3.156418408217416072e+04	2.242220551544451155e+02
3.500000000000000333e-01	1.406917361369452828e-02	1.107285586985087694e-01	9.999999999999996487e-11	2.831490517720313869e-04	3.123745920379084782e+04	8.930701936920068529e-03	1.252668569443428359e-01	5.217865735575434247e-03	5.341454877006853591e-02	1.634195436874526114e-05	1.310036252034214020e-04	3.112442989824764663e+04	2.260586110864023794e+02
4.000000000000000222e-01	1.378032883875952332e-02	1.102924116276499666e-01	1.028783235220229678e-09	2.794548870901847814e-04	3.083355042060834603e+04	9.064423417400793020e-03	1.226871819228722710e-01	4.800910337357518036e-03	5.113971118921793735e-02	9.999999999999996487e-11	1.243733142684221276e-04	3.072418588292409913e+04	2.187290753684937954e+02
4.500000000000000111e-01	1.353296898082693815e-02	1.102593156492283621e-01	5.304916414683867568e-06	2.736029935521343509e-04	3.043203616792612229e+04	8.949477006180995772e-03	1.219693872115320543e-01	4.666941332050470424e-03	5.093588262434692315e-02	1.868312434339922505e-05	1.217628534963249702e-04	3.032571457231936074e+04	2.126431912135230959e+02
5.000000000000000000e-01	1.317740720492529931e-02	1.097500057155805231e-01	9.999999999999996487e-11	2.670349138104276959e-04	2.990994920020860809e+04	8.515293469588260805e-03	1.228200204150129426e-01	4.739771604178487883e-03	5.201600482157125310e-02	4.029147122245061769e-05	1.214620363908097282e-04	2.980433744607355766e+04	2.112235082701008650e+02
5.500000000000000444e-01	1.284795346112385488e-02	1.094256857654730686e-01	9.999999999999996487e-11	2.625853262035961655e-04	2.941403328204651552e+04	8.257753743557468690e-03	1.231371965610033176e-01	4.664617719054855831e-03	5.204843677421340520e-02	9.999999999999996487e-11	1.199786636120506823e-04	2.930917220451699905e+04	2.097221550590329571e+02
6.000000000000000888e-01	1.260085219079722964e-02	1.093745473235744892e-01	9.999999999999996487e-11	2.587567793734957679e-04	2.901488036941377868e+04	8.067069957281137668e-03	1.230363798248516327e-01	4.605186647685892594e-03	5.233527112751172605e-02	1.002566308124600719e-10	1.201209256602611919e-04	2.891207626832598908e+04	2.056082021755792084e+02
6.500000000000001332e-01	1.234633400252240984e-02	1.095241499755072456e-01	2.293922737753290453e-07	2.508050866386947486e-04	2.855333308368116195e+04	7.984293706516014041e-03	1.222885417273593678e-01	4.432148370778744850e-03	5.195993672266167179e-02	1.684743860030737565e-05	1.151304246399009507e-04	2.845351183970694183e+04	1.996424879484402481e+02
7.000000000000000666e-01	1.199356996641963088e-02	1.092618912236789919e-01	9.999999999999996487e-11	2.468879602462708406e-04	2.800139022052570726e+04	7.900007435884055101e-03	1.203257205519904782e-01	4.163888157292417076e-03	5.096086135094837072e-02	9.999999999999996487e-11	1.138760498189565827e-04	2.790649359575729977e+04	1.897932495368149830e+02
7.500000000000001110e-01	1.165091921029616680e-02	1.088743362289661953e-01	9.999999999999996487e-11	2.378347051783575206e-04	2.743675704115836925e+04	7.541018114619358302e-03	1.190612342740223484e-01	4.173804726710358265e-03	5.234720765338367332e-02	9.999999999999996487e-11	1.145112179767606938e-04	2.734812777356844163e+04	1.772585351798552438e+02
8.000000000000000444e-01	1.131711418707532363e-02	1.088389410930554746e-01	5.352976291082091580e-07	2.275544734595861900e-04	2.683510587392689195e+04	7.411434522408500737e-03	1.178810339998249551e-01	3.968094891404909223e-03	5.183713198268869587e-02	2.191317841650237879e-06	1.078925258767232469e-04	2.675027504621958360e+04	1.696616554146166891e+02
